duration,stop,year,round,name,code
20.58,1,2021,21,Saudi Arabian Grand Prix,HAM
16:36.375,1,2021,21,Saudi Arabian Grand Prix,VER
16:35.856,2,2021,21,Saudi Arabian Grand Prix,HAM
18:07.591,2,2021,21,Saudi Arabian Grand Prix,VER
18:06.674,3,2021,21,Saudi Arabian Grand Prix,HAM
21.152,1,2021,22,Abu Dhabi Grand Prix,VER
21.595,1,2021,22,Abu Dhabi Grand Prix,HAM
21.871,2,2021,22,Abu Dhabi Grand Prix,VER
21.453,3,2021,22,Abu Dhabi Grand Prix,VER
1:09.022,3,2019,11,German Grand Prix,HAM
